I_DATA_SET1,SOURCE_RES,SOURCE_PSCHEMA,SOURCE_LSCHEMA,SOURCE_TABLE1,SOURCE_TABLE2,SOURCE_TAB,TARGET_PSCHEMA,TARGET_LSCHEMA,TARGET_TABLE1,TARGET_TABLE2,TARGET_TAB,TARGET_RES,I_DATA_SET2
252744001,DWH,EDW_SOR.EDW_SOR,EDW_SOR,AR_INT_SMY,EDW_SOR.EDW_SOR.AR_INT_SMY,EDW_SOR.AR_INT_SMY,EDW_SOR.EDW_STG,EDW_SOR_STG,T_DMT_SAL_PERP_ANL_FCT,EDW_SOR.EDW_STG.T_DMT_SAL_PERP_ANL_FCT,EDW_SOR_STG.T_DMT_SAL_PERP_ANL_FCT,DWH,252744001
252712001,DWH,,PIPELINE_SRC_DWH,GSM_LEAD,.GSM_LEAD,PIPELINE_SRC_DWH.GSM_LEAD,,PIPELINE_EDW_STG,T_PIPE_DMT_00,.T_PIPE_DMT_00,PIPELINE_EDW_STG.T_PIPE_DMT_00,DWH,252712001
253872001,DWH,ALM.DWH,ICT_DWH,AZ_ACCOUNT,ALM.DWH.AZ_ACCOUNT,ICT_DWH.AZ_ACCOUNT,,ICT_VAS,TMP_TBL_ICT_TERM_DP,.TMP_TBL_ICT_TERM_DP,ICT_VAS.TMP_TBL_ICT_TERM_DP,DWH,253872001
251078001,DWH,EDW_SOR.EDW_SOR,TT31_SRC_SOR,AR_FIX_TERM,EDW_SOR.EDW_SOR.AR_FIX_TERM,TT31_SRC_SOR.AR_FIX_TERM,DWH.TCB_DWH_VAS,TT31_STG,R_TT31_MD_LOAN_INFO,DWH.TCB_DWH_VAS.R_TT31_MD_LOAN_INFO,TT31_STG.R_TT31_MD_LOAN_INFO,DWH,251078001
3815001,DWH,DWH.TCB_DWH_VAS,TT31_STG,R_TT31_MD_TRADE_TXN_INFO,DWH.TCB_DWH_VAS.R_TT31_MD_TRADE_TXN_INFO,TT31_STG.R_TT31_MD_TRADE_TXN_INFO,,TT31_TRG,TCB_MD_TRADE_TXN_INFO,.TCB_MD_TRADE_TXN_INFO,TT31_TRG.TCB_MD_TRADE_TXN_INFO,DWH,3815001
251515001,DWH,EDW_SOR.DWH,EDW_DWH,KDR_PAPERS,EDW_SOR.DWH.KDR_PAPERS,EDW_DWH.KDR_PAPERS,EDW_SOR.EDW_STG,EDW_SOR_STG,T_KDR_SECURITIES,EDW_SOR.EDW_STG.T_KDR_SECURITIES,EDW_SOR_STG.T_KDR_SECURITIES,DWH,251515001
1839001,DWH,EDW_SOR.EDW_SOR,EDW_SOR,IP_X_GRP,EDW_SOR.EDW_SOR.IP_X_GRP,EDW_SOR.IP_X_GRP,EDW_SOR.EDW_STG,EDW_SOR_STG,T_DMT_FTP_SMY,EDW_SOR.EDW_STG.T_DMT_FTP_SMY,EDW_SOR_STG.T_DMT_FTP_SMY,DWH,1839001
460001,DWH,EDW_SOR.EDW_SOR,EDW_SOR,CV,EDW_SOR.EDW_SOR.CV,EDW_SOR.CV,EDW_SOR.EDW_STG,EDW_SOR_STG,T_AR_AVY_SMY_DAY,EDW_SOR.EDW_STG.T_AR_AVY_SMY_DAY,EDW_SOR_STG.T_AR_AVY_SMY_DAY,DWH,460001
251931001,DWH,EDW_SOR.EDW_SOR,EDW_SOR,IP,EDW_SOR.EDW_SOR.IP,EDW_SOR.IP,EDW_SOR.EDW_STG,EDW_SOR_STG,TMP_RPT_MGR_LOAN_AR_X_IP_UP,EDW_SOR.EDW_STG.TMP_RPT_MGR_LOAN_AR_X_IP_UP,EDW_SOR_STG.TMP_RPT_MGR_LOAN_AR_X_IP_UP,DWH,251931001
257344001,DWH,EDW_SOR.DWH_STAGING,EDW_DWH_STG,T_CUSTOMER,EDW_SOR.DWH_STAGING.T_CUSTOMER,EDW_DWH_STG.T_CUSTOMER,EDW_SOR.EDW_STG,EDW_SOR_STG,T_CUS,EDW_SOR.EDW_STG.T_CUS,EDW_SOR_STG.T_CUS,DWH,257344001
255530001,DWH,EDW_SOR.EDW_DMT,EDW_DMT,OU_DIM,EDW_SOR.EDW_DMT.OU_DIM,EDW_DMT.OU_DIM,EDW_SOR.EDW_STG,EDW_SOR_STG,T_FIN_IND_LD_LASTEST_DIM,EDW_SOR.EDW_STG.T_FIN_IND_LD_LASTEST_DIM,EDW_SOR_STG.T_FIN_IND_LD_LASTEST_DIM,DWH,255530001
255542001,DWH,EDW_SOR.EDW_DMT,EDW_DMT,OU_DIM,EDW_SOR.EDW_DMT.OU_DIM,EDW_DMT.OU_DIM,EDW_SOR.EDW_STG,EDW_SOR_STG,T_FIN_IND_LD_AR_MO_2,EDW_SOR.EDW_STG.T_FIN_IND_LD_AR_MO_2,EDW_SOR_STG.T_FIN_IND_LD_AR_MO_2,DWH,255542001
