target,source,ID
EDW_SOR.CV,EDW_DWH.CMS_DIC_TRANREASON,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_LC_TYPES,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH.KDR_BRANCHES,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH.KDR_TYPEOFINSTR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.T_LD_PROGRAM,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_TRANGTHAI,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH.KDR_FUTURES,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH.KDR_MARKETST,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_FT_TXN_TYPE_CONDITION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_COLLATERAL_CODE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_SOR_STG.T_CMS_DIC_RESPCODE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH.KDR_CPTYDEFT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_PHONGTOA_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_CT_CATEGORY_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH.EB_LOANS_PURPOSE_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH.TD_KVRRTYPE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH.KDR_PAYMENTCLASS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_CT_TRANSFER_CODE_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_PURPOSE_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_CATEGORY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_RELATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.T_GROUP_ACC_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CV,EDW_DWH_STG.I$_FT_COMMISSION_TYPE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.OU,EDW_SOR_STG.T_COM_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.OU,EDW_SOR_STG.T_DEP_DAO,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.T_CUS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH_STG.I$_DEALER_DESK,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.T_LOS_MAINAPPLICATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.KDR_CLEARINGMODES,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.T_CMS_IDENTITY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.T_CMS_CARD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.LOS_USERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.CMS_IDENTITY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH_STG.I$_CO_DVBAOVE_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.T_DEP_DAO,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.KDR_USERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.KDR_BRANCHES,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.T_TL_ID,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.T_EX_USER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.T_CMS_CLIENTPERSONE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH_STG.I$_LD_INVESTOR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.KDR_THIRDPARTY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH_STG.I$_COMPANY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.RE_ID_NHANSU_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.KDR_CPTY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH_STG.I$_USERTBL,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.CUSTOMER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH_STG.I$_CMS_CLERK,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.T_COM_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH_STG.I$_CO_DVBAOHIEM_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.LOS_HISTORIC,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH_STG.I$_COPHIEU,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH.KDR_BROKERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_DWH_STG.I$_CONGTYDINHGIA_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.TMP_LOS_MAINAPP_IP2,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.IP,EDW_SOR_STG.TMP_LOS_MAINAPP_IP,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CR_FCY_AR,EDW_SOR_STG.T_KDR_SETTLEMENTLIMIT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CR_FCY_AR,EDW_SOR_STG.T_KDR_LIMIT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CR_FCY_AR,EDW_SOR_STG.T_LMT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.CR_FCY_AR,EDW_SOR_STG.T_CCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_LD_PD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR.AR,EDW_SOR_STG.T_LOS_MAINAPPLICATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
