src_tab,ID
EDW_DWH.CMS_CONTRACTPARAMETERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_REPODEALS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_CARDCNS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_CONTRACTSTATEHISTORY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_UP_1_CONTRACT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_MBB_CUSTOMERS_IDEN_TSD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CUS_UP,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_ADM.TBL_PLN_CIC,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_PORTFOLIO_PBC_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_TCB_CPTY_T24CUST,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.LOS_VERIFICATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_LOS_MAINAPPLICANT_TSD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.TMP_LOS_MAINAPP_IP3,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_COMPANY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_DEPT_ACCT_OFFICER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_DEPARTMENT_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.BF_CUS_INFO,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.BF_DB_CUSTOMER_ECO,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.SECTOR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_CUSTOMER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.ECO_SCTR_ECO,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_CUS_ASSET_CLASS_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.LOS_MAINAPPLICANT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.LOS_APPLICATION2,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.LOS_APPLICATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_CMS_CARD_TSD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_TELLER_ID,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.USERTBL,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_EB_EXTERNAL_USER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_CREDITLIMIT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_RKNET_CPTY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_RKNET_CURRENCY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_CREDITLIMITMASTER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_RKNET_FOLDER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_ACCOUNT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_LIMIT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_LIMIT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_COLLECTIONCENTRALBANK,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.INFO_CARD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_LD_LOANS_AND_DEPOSITS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_LD_LOANS_AND_DEPOSITS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_PD_PAYMENT_DUE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_PURPOSE_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_PD_PAYMENT_DUE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_LMM_ACCOUNT_BALANCES,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_LETTER_OF_CREDIT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_SA_SCORE_TXN,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_LC_TYPES,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_EB_ECM_XEPHANG,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_CARD_TYPE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_CARD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_INFO_CARD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_AZ_ACCOUNT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_ACCOUNT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.PACKAGE_ACCCOUNT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.ACCT_CAPITALISATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_AZ_ACCOUNT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_ACCOUNT_CLOSED,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_TKBH_AC_CLOSED_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.GROUP_CAPITALISATION,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_MM_MONEY_MARKET,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.PURPOSE_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_MD_DEAL,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_RATE493_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_MD_DEAL,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_CMS_CONTRACT5,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_ADM.ACI_EXCEPTION_AR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_TCB_HIERARCHY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_KT_KONDOR2T24ACM,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_ACCOUNT_CLOSED,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_SWAPDEALS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_CURRENCIES,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_SWAPDEALSHISTT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_TCB_REPODEAL,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_BODEALFOKEY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_REPOSECUSCHED,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_LOANSDEPOSITDEALS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_SWAPLEG,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_LO_DEPODEALSHISTT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_REPODEALSHISTT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_IAMDEALS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.COLLATERAL,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_COLLATERAL_RIGHT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_ADM.RM_SALE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_PRODUCT_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_ADM.TBL_ECO_SCTR_HIER,EDW_DMT.PFS_BOND_AR_FCT_MTLY
TCB_CMS_LOGICAL.TRANSACTION,TCB_CMS.CMS_TRANSACTION
ODS_SRC_T24REP.J$_INFO_CARD_ODS,DWH_LOGICAL.INFO_CARD
DWH_LOGICAL.V_T24INFO_CARD,DWH_LOGICAL.INFO_CARD
EDW_SOR_STG.T_TBL_PFS_MAP_RL,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.MBB_CUSTOMERS_IDEN,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.ECM_LC_TRANS_DETAILS,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_CONTRACT,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.ECM_LIST_PROCESS_RESULT,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.ECM_LC_TRANSACTIONS,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_CONTRACTTYPEPARAMETERS,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_CONTRACTPARAMETERS,EDW_DMT.PFS_AR_FCT_DLY
EDW_SOR_STG.T_KDR_SETTLEMENTLIMIT,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_REPODEALS,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_CARDCNS,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_CONTRACTSTATEHISTORY,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_UP_1_CONTRACT,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_MBB_CUSTOMERS_IDEN_TSD,EDW_DMT.PFS_AR_FCT_DLY
TT31_SRC_SOR.AR_X_CL,EDW_DMT.PFS_AR_FCT_DLY
TT31_SRC_SOR.CV,EDW_DMT.PFS_AR_FCT_DLY
TT31_SRC_SOR.ACS_FCY_AR,EDW_DMT.PFS_AR_FCT_DLY
TT31_SRC_SOR.AU,EDW_DMT.PFS_AR_FCT_DLY
TT31_SRC_SOR.IP,EDW_DMT.PFS_AR_FCT_DLY
TT31_SRC_SOR.AU_BAL,EDW_DMT.PFS_AR_FCT_DLY
TT31_SRC_SOR.AR,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CURRENCY,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_DIC_COUNTRY,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.T_CUSTOMER_STATUS,EDW_DMT.PFS_AR_FCT_DLY
